category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id,date,year,month,day,day_of_week,total_price
Sports,d85e941f,,PayPal,564.01,3f0aeedb,Running Shoes,3,2.0,Houston,USA,CA,822 Maple St,33670,"sale,exclusive",2024-11-06 03:52:43,0ef4e985-f21f-4df1-b032-5e51cc6e8824,2024-11-06,2024,11,6,4,1692.03
Electronics,77e5eacd,,Debit Card,852.59,40c2db2b,Smartphone,2,0.0,New York,USA,AZ,1488 Pine St,78880,"exclusive,trending,sale",2024-08-31 13:55:43,6469a5eb-8318-4947-a316-bc10b9920880,2024-08-31,2024,8,31,7,1705.18
Automotive,fc10115e,,Cash,228.12,ee247a77,Car Wax,1,4.0,Phoenix,USA,CA,4182 Oak St,37651,"exclusive,limited",2024-11-13 08:23:43,bea4473b-1d43-4667-978e-ac8d6e47ebf5,2024-11-13,2024,11,13,4,228.12
Grocery,d75fcb71,,Gift Card,65.3,94ae2b0a,Canned Goods,6,4.0,Los Angeles,USA,IL,9744 Cedar St,50549,limited,2025-01-21 17:31:43,1a2e7cb3-4ac6-4a71-b021-e478e5cea223,2025-01-21,2025,1,21,3,391.79999999999995
Books,f1bc417b,,PayPal,687.17,d466d335,History,2,5.0,Phoenix,USA,IL,1230 Pine St,94806,,2024-03-18 22:34:43,8e2661de-0dd1-46a6-b8c5-32716a2c3f2b,2024-03-18,2024,3,18,2,1374.34
Grocery,aeea0246,,Credit Card,234.75,323e7180,Cereal,3,1.0,Los Angeles,USA,IL,6467 Pine St,48381,,2024-12-27 11:09:43,813601e5-c3d4-4ead-845c-e25b7cf22a92,2024-12-27,2024,12,27,6,704.25
Clothing,636db45d,,Gift Card,393.44,5f951c97,Jacket,10,0.0,Phoenix,USA,NY,7691 Pine St,91243,limited,2024-11-03 19:19:43,3104cf71-2a46-4745-abd8-a23747d5a4af,2024-11-03,2024,11,3,1,3934.4
Toys,0c085300,,Credit Card,547.26,2d135bbd,Building Blocks,4,0.0,Phoenix,USA,TX,2401 Oak St,77320,"trending,new",2024-08-18 04:36:43,0b474ead-2207-4219-afc3-b26e6ef04688,2024-08-18,2024,8,18,1,2189.04
Toys,516d0246,,PayPal,248.36,592f9ced,Action Figure,2,2.0,Chicago,USA,AZ,7078 Cedar St,78997,trending,2024-11-26 06:43:43,2404c386-d8ff-4fa8-88c9-344d4d664686,2024-11-26,2024,11,26,3,496.72
Beauty,47209bc0,,Bank Transfer,792.08,dfb85a34,Face Cream,10,2.0,Los Angeles,USA,CA,3320 Pine St,23598,"new,exclusive",2025-01-09 16:00:43,6e0367b6-d81d-41a4-81d8-694a3d20aa0a,2025-01-09,2025,1,9,5,7920.8
Clothing,f75a0310,,Gift Card,725.74,8f005141,Shoes,6,5.0,Phoenix,USA,NY,7850 Cedar St,83290,"trending,sale",2024-08-18 06:35:43,51de3a60-376b-48ca-8306-ab231e1105bd,2024-08-18,2024,8,18,1,4354.4400000000005
Health,f9c0b96c,,PayPal,991.64,b4c43d31,Bandages,3,3.0,Chicago,USA,AZ,8744 Oak St,66950,,2025-03-02 23:24:43,66e02d48-feea-49c3-856c-9300f1aa1f6c,2025-03-02,2025,3,2,1,2974.92
Toys,8aa3a192,,PayPal,955.51,8980737e,Doll,3,2.0,Phoenix,USA,IL,6064 Cedar St,54444,new,2025-02-05 07:55:43,01dccbc4-63f9-4f94-94d8-c154322bd3fe,2025-02-05,2025,2,5,4,2866.5299999999997
Beauty,db256a13,,Gift Card,299.63,a5b371aa,Face Cream,5,2.0,Chicago,USA,NY,8860 Oak St,19666,"exclusive,new",2024-08-02 06:10:43,63f41329-a0ba-4e70-a10f-f0dbb6fa9ab3,2024-08-02,2024,8,2,6,1498.15
Beauty,108239c6,,Credit Card,851.15,5ed6c404,Hair Dryer,6,3.0,Phoenix,USA,CA,6191 Cedar St,24766,new,2024-12-05 01:18:43,ea7c67cf-2c81-4829-9754-4c127a8c0a7d,2024-12-05,2024,12,5,5,5106.9
Toys,50ade281,,Credit Card,118.58,40830759,Action Figure,10,0.0,Phoenix,USA,NY,2356 Maple St,16533,,2024-10-01 15:52:43,6dccd0a9-643d-4e49-8e0b-baa85541f60d,2024-10-01,2024,10,1,3,1185.8
Home & Kitchen,cf401a51,,PayPal,491.54,0404f707,Blender,7,3.0,Chicago,USA,CA,4302 Maple St,71313,new,2024-05-21 06:07:43,8aa2eb3e-2187-496f-88cc-c0697aad46df,2024-05-21,2024,5,21,3,3440.78
Grocery,1c050a7a,,Cash,201.53,4f868c8a,Frozen Meals,6,1.0,Los Angeles,USA,AZ,4940 Oak St,56080,"limited,exclusive",2024-08-08 19:20:43,d9eac811-e1ce-4a00-a612-7cd6bf508f83,2024-08-08,2024,8,8,5,1209.18
Beauty,1f054a91,,Credit Card,980.02,91ecc575,Face Cream,4,0.0,Phoenix,USA,AZ,3377 Oak St,88583,,2025-01-08 20:07:43,f789d5e9-5f94-4943-949f-cc6ecf3c6cc7,2025-01-08,2025,1,8,4,3920.08
Clothing,41751199,,Credit Card,485.46,c038c1c1,Jacket,3,1.0,Los Angeles,USA,NY,4950 Oak St,18013,limited,2024-06-24 16:09:43,616492fc-01e0-49a6-b7d1-cdac72ec80cd,2024-06-24,2024,6,24,2,1456.3799999999999
Home & Kitchen,2bea7656,,Cash,787.93,44d9fad8,Coffee Maker,7,0.0,Chicago,USA,TX,2679 Oak St,15198,"limited,sale",2024-07-04 11:08:43,f2a16bd7-3410-485e-9222-1ef5fb4fd140,2024-07-04,2024,7,4,5,5515.509999999999
Sports,f4760501,,Bank Transfer,764.92,edaa4853,Yoga Mat,3,2.0,New York,USA,AZ,4353 Main St,87130,exclusive,2024-10-09 07:14:43,6f758f5f-4ce0-41b9-900a-355250e29e22,2024-10-09,2024,10,9,4,2294.7599999999998
