category,customer_id,is_gift,payment_method,price,product_id,product_name,quantity,rating,shipping_address_city,shipping_address_country,shipping_address_state,shipping_address_street,shipping_address_zip_code,tags,timestamp,transaction_id
Sports,45eb05ab,False,Gift Card,309.09,344bf0ae,Tennis Racket,1,,Houston,USA,IL,9289 Maple St,77020,,2024-06-15 12:57:40,80183702-9174-4536-849a-d559f47ca174
Clothing,8070241f,True,Credit Card,448.07,58b4c949,Socks,5,1,New York,USA,NY,4157 Oak St,24719,"exclusive,new,trending",2024-12-16 02:42:40,2daa8c86-1e8e-4259-b45e-b5390953456f
Health,bdf5e2cf,False,PayPal,629.31,6a31a70b,Bandages,8,,New York,USA,NY,4401 Maple St,32900,"new,sale,limited",2024-05-21 16:36:40,c0f79e24-8999-45bf-898b-f4a6bb506655
Health,a6256299,False,Debit Card,859.06,76a52381,Bandages,1,2,Chicago,USA,CA,3548 Oak St,65125,"limited,new",2024-10-20 05:06:40,2c48a1a5-08cb-45fa-a62b-e9682fbfa2e1
Toys,6a5bbc3f,False,Gift Card,489.86,26ddbef7,Building Blocks,8,,Los Angeles,USA,CA,450 Cedar St,31023,exclusive,2024-06-28 00:07:40,11b9b290-c413-404f-9380-852dec8c6e46
Home & Kitchen,d13b4bba,True,Debit Card,805.42,29d7e1b5,Plates,6,,New York,USA,CA,9786 Pine St,34931,"exclusive,trending,limited",2024-04-04 11:22:40,1a3011ae-186b-464c-b83d-869a258552bb
Health,e6b78eb5,True,Gift Card,533.14,428f0670,First Aid Kit,6,5,Houston,USA,NY,9611 Cedar St,75257,"sale,limited",2024-10-23 00:07:40,6b161b0d-853a-484a-b315-dfd5b87ee427
Beauty,b9582f19,True,Gift Card,992.53,426c458c,Face Cream,4,3,Los Angeles,USA,TX,3568 Oak St,32967,"limited,new",2024-04-13 11:02:40,140f0bcc-eb93-4297-ae88-5af60ad05562
Grocery,b96347b9,True,Cash,700.48,40472a14,Coffee,10,3,Chicago,USA,CA,2280 Main St,59523,new,2024-05-04 07:46:40,b00225e3-bf61-4038-b042-5e1ec641c6e1
Electronics,057bc5b3,False,Gift Card,99.88,5e47704c,Headphones,4,,Phoenix,USA,AZ,1529 Pine St,22428,"sale,limited,exclusive",2024-08-23 09:36:40,203f1210-73a7-463a-bb85-8bdfbbbb540b
Books,ee6116d3,True,Gift Card,971.34,9801009d,History,4,2,Chicago,USA,NY,9253 Cedar St,10447,"trending,new,sale",2024-12-01 16:42:40,75522299-322d-4dab-ab16-9feca1537444
Books,9a902fb4,False,Gift Card,474.02,f82c581b,Self-Help,8,,Los Angeles,USA,NY,3564 Main St,55206,exclusive,2025-02-07 18:28:40,a72ee757-d834-494a-be38-d010c8cfb552
Grocery,0704b31d,True,Bank Transfer,912.15,382f4f90,Pasta,6,4,Chicago,USA,IL,6818 Main St,95818,,2024-08-31 11:59:40,25fdff54-4b52-4e5b-8563-760ff6b898d3
